Description,Item,Unit,Cost
LIMPIA PILETA EL ABUELO S/CABO,450409133,PZ,1039.208245523
ENROLLADOR P/CORTINA 4 MT PULIDO,450409134,PZ,1039.208245523
INSEC ALLEMANDI YARARA TARRO 24x250,451305357,PZ,1044.81
FRATACHO PINO 12 x 40 CM,450409150,PZ,1045.65937752
PITON S/TOPE CERRADO P/TACO  8 x 50,450802746,PZ,1046.29
REGULADOR P/GARR C/MANG 0.80 MT IMP,451305543,PZ,1056.02
PINTURA MATRA AEROSOL NARANJA,451305447,PZ,1059.25
PINTURA MATRA AEROSOL NEGRO,451305448,PZ,1059.25
CABLE CORDON  4.8 MM 1 x  7,450812362,PZ,1060.8
BANDA AA TELA 100x610 O/A MAD G. 60,424564354,PZ,1061.43
LEBRILLO CHAPA GALV REF N.26  70 LT,424592788,PZ,1062.05
MECHA EZETA WIDIA CORTA 22 MM,424572066,PZ,1063.83
MACHO URANGA A/RAPIDO M 11 x 1.00,450408941,PZ,1067.04
MACHO URANGA A/RAPIDO M 10 x 1.25,450408942,PZ,1067.04
LINGA ACERO VARIOS COLORES 0.90 CM,451305340,PZ,1067.8
DISCO XPERT   C/P 114x1.6x22.2 O/A,451305343,PZ,1067.8
MALLA R 84 2.15x50 MT 150x250x4.0 MM,424596615,PZ,1068.63
ESPATULA S JUANA ENDUIR 140 MM,451305185,PZ,1069.5
CLAVO ESCUADRA PUL 16 -  50,422002158,PZ,1071.36
CURVA CHAPA GALV CORRUGADA 4 ANG 45,450409232,PZ,1072.27029701
MECHA EZETA CILIND TITANIO  3.00 MM,450901213,PZ,1082.72
ACEITERA PLAST PICO RIGIDO 250 CM3,450409281,PZ,1087.389686421
ACEITERA PLAST PICO FLEX   250 CM3,450409283,PZ,1087.389686421
CANDADO 606 50MM JGO  6 PZS MAESTRO,451305605,PZ,1090.03
TORNILLO TIRAFONDO GALV 3/8 x2 1/4,451305331,PZ,1090.79
TORNILLO TIRAFONDO GALV 3/8 x2 1/2,451305332,PZ,1090.79
TORNILLO TIRAFONDO GALV 3/8 x5,451305339,PZ,1090.79
DISCO XPERT   C/P 114x1.0x22.2 O/A,451305341,PZ,1090.79
HORQUILLA GHERARDI 6 PUAS C/LARGO,450409114,PZ,1092.660482073
ESQUINERO ANG CROM  125 x 125 MM,450409115,PZ,1092.660482073
PLANCHUELA 1518 6     x   1/2,451305408,PZ,1099.34
CAJA METALICA A3 12x17x48 1 BANDEJA,451305644,PZ,1099.34
GANCHO P/ARMARIO BCE 25 MM x 100,424588704,PZ,1100
MECHA EZETA CILIND TITANIO  1.75 MM,424589589,PZ,1100
DISCO AA GOLD    6 PERF 154  G.320,424596585,PZ,1100
CHAIRA BIASSONI LISA 10 - 254 MM,424588136,FR,1102.88
CAÃ‘O CONDUIT GALV 2 1/2 x 6.40 MT,424596609,PZ,1102.94
CLAVO CAJ BARNIZADO FRACC  18-152,424596170,PZ,1104
ESPATULA S JUANA ENDUIR 240 MM,450409231,PZ,1104.871553354
BARRENO BIASSONI 1,450409191,PZ,1105.793143639
ABRAZ GALV CAÃ‘O ELECTRICIDAD  3/8,450409243,PZ,1105.793143639
ESCUADRA S JUANA MILIMETRADA 30 CM,450409244,PZ,1105.793143639
MECHA EZETA COLA CONICA 48.25 MM,450300921,PZ,1107.59
ACEITERA PLAST LISA,450409270,PZ,1107.670793468
HERRADURA ACANALADA PESADA 0,450812286,PZ,1130.48
RIEL RTO-CORRED PLAST C/CRUCE x  10,450408973,PZ,1138.82
MALLA Q 84 3x2 MT 150x150x4.0 MM,424596616,PZ,1142.16
CAÃ‘O ALTA PRESION ROJO  8 MM x50 MT,451305619,PZ,1142.28
REGULADOR PAZ P/GARR C/MANG 0.80 MT,450814126,PZ,1144.06
MECHA EZETA COLA CONICA 42.75 MM,450819632,PZ,1150
MECHA EZETA COLA CONICA 44.00 MM,450819633,PZ,1150
MECHA EZETA CILINDRICA A/R 16.75 MM,424589587,PZ,1151.01
RIEL RTO-CORDON PERLON SUP x 200 MT,450409273,PZ,1151.322182807
GUARDACABO GALV   3/4,450812397,PZ,1155.92
CEMENTO SIN TOLUENO x    1/4 LT,451305486,PZ,1158.62
ADAP HEXAG P/AUTOPERF  3/8 x 65 MM,450802777,PZ,1161.13
TOR P/MECHA C/FIJAD-PHIL 10 x   3/4,450803007,PZ,1161.13
RIEL DOBLE BLANCO 2.50 MT,450803627,PZ,1161.13
MECHA EZETA COLA CONICA 15.50 MM,450817145,HJ,1164.8
GANCHO ESTIRA TEJ GALV 3/8  x 12,424575527,PZ,1167.25
MECHA EZETA COLA CONICA 38.50 MM,450812411,PZ,1170.08
ENROLLADOR P/CORTINA 6 MT PULIDO,450409135,PZ,1173.06923447
CAÃ‘O CONDUIT GALV 2     x 6.40 MT,424596610,PZ,1176.47
MECHA EZETA CILIND TITANIO  1.50 MM,424589592,PZ,1181.86
ESTUFA FUND Y CHAPA ACC-CODO,450409121,PZ,1185.510703323
REGATON REGULABLE 3/8  BASE CHICA,424593611,PZ,1186.97
CLAVO CAJ PULIDO 10- 25 x 30 KG,424588707,PZ,1200
CAJA METALICA A2 12x17x41 1 BANDEJA,451305449,PZ,1201.56
MECHA EZETA CILIND TITANIO  7.50 MM,424580342,PZ,1202.5
BALDE CHAPA GALV REF N.12  13 LT,450409219,PZ,1206.361683528
BALDE CHAPA GALV REF N.13  15 LT,450409220,PZ,1206.361683528
BALDE CHAPA GALV REF N.11  10 LT,450409222,PZ,1206.361683528
CLAVO P/PARIS FRACC  4,450804444,PZ,1208.63
CLAVO ESPIRALADO FRACC  4,424588342,PZ,1210.31
MALLA R 84 3x2 MT 150x250x4.0 MM,424596617,PZ,1215.69
BIS FICHA P/SOLD REF  80-33-8 x 2.5,450805997,PZ,1230.82
FRATACHO ALGARROBO 12 x 20 CM,450409139,PZ,1240.11492773
FRATACHO ALGARROBO 12 x 25 CM,450409140,PZ,1240.11492773
FRATACHO ALGARROBO 12 x 30 CM,450409141,PZ,1240.11492773
CANDADO 606 50MM JGO  6 PZS COMB,451305610,PZ,1240.51
ESTUFA FUND Y CHAPA REDONDA 56x40,450409120,PZ,1246.566059727
CAÃ‘O CONDUIT GALV 1 1/2 x 6.40 MT,424596611,PZ,1250
ABRAZ AMERICANA 3003/5  38 -  50 MM,450813437,PZ,1253.92
CEMENTO SIN TOLUENO x    1/2 LT,451305487,PZ,1262.36
CEMENTO SIN TOLUENO x  1     LT,451305488,PZ,1262.36
DESTAPACAÃ‘ERIA CINTA ACERO  5 MT,450810819,PZ,1266.38
LLAVE PASO DUKE METAL ESFERA 2 1/2,451305387,PZ,1271.86
LIJA AA FENOB G.100   120 x 45000,450819416,PZ,1274
HERRADURA ACANALADA PESADA C/CLIP 7,450819417,PZ,1274
ESQUINERO ANG CROM  150 x 150 MM,450409116,PZ,1283.544869927
CARCIMA 3328 TIJERA CESPED FIJA,450409117,PZ,1283.544869927
CLAVO CAJ BARNIZADO FRACC  18-101,424596175,PZ,1284
CLAVO CAJ BARNIZADO FRACC  17- 75,424596176,PZ,1284
CLAVO CAJ BARNIZADO FRACC  16- 63,424596177,PZ,1284
CLAVO CAJ BARNIZADO FRACC  15- 50,424596178,PZ,1284
CLAVO CAJ BARNIZADO FRACC  14- 50,424596179,PZ,1284
CLAVO CAJ BARNIZADO FRACC  14- 40,424596180,PZ,1284
CLAVO CAJ BARNIZADO FRACC  13- 45,424596183,PZ,1284
CLAVO CAJ BARNIZADO FRACC  12- 38,424596184,PZ,1284
CLAVO CAJ BARNIZADO FRACC  12- 35,424596185,PZ,1284
CLAVO CAJ BARNIZADO FRACC  12- 32,424596186,PZ,1284
CLAVO CAJ BARNIZADO FRACC  10- 30,424596187,PZ,1284
PITON S/TOPE ESCUAD  BCE 20-60 x 50,424596188,PZ,1284
MECHA EZETA COLA CONICA 47.25 MM,450905552,PZ,1289.6
RIEL DOBLE ALUM   1.50 MT,450812284,PZ,1295.42
CINTA EVEL 105 STANDARD     5 MT,450905783,PZ,1296.699552238
CLAVO ESCUADRA PUL 24 - 100 x  50,450408944,PZ,1299.195
RIEL RTO-PERILLA PLAS C/PLOMO x  10,450400559,PZ,1303.57
BROCA MANUAL UR38 3/8,450800137,PZ,1305.41
ARCO SIERRA EL ABUELO FIJ RTO-CABO,450906004,PZ,1314.222556049
TORNILLO TIRAFONDO GALV 3/8 x2 3/4,451305333,PZ,1317.46
TORNILLO TIRAFONDO GALV 3/8 x3,451305334,PZ,1317.46
TORNILLO TIRAFONDO GALV 3/8 x3 1/4,451305335,PZ,1317.46
TORNILLO TIRAFONDO GALV 3/8 x3 1/2,451305336,PZ,1317.46
POLIET SIXCOM 4 x 200 x  50 CRISTAL,424593993,PZ,1319.63
REGADERA CHAPA GALV N.1   8 LT,424591414,PZ,1323.02
GUANTE LATEX P/CORTO  8,450812514,PZ,1325.38
DESTAPA INODORO EL ABUELO,450409137,PZ,1340.568268833
ESPATULA S JUANA PINTOR 40 MM,450409229,PZ,1340.568268833
ESPATULA S JUANA PINTOR 30 MM,450409230,PZ,1340.568268833
HERRADURA ACANALADA PESADA C/CLIP 2,450813811,PZ,1348.32
CABO P/MARTILLO RECTO 0.40 MT,450400555,PZ,1350.38
CEMENTO SOPLETEABLE INCOL x 18 LT,451305496,PZ,1357.93
ANAFE 1 HORN ENLOZ C/ROB GAS NAT,424590241,CJ,1361.92
AEROSOL MATRA CONVERTIDOR OXIDO,451305471,PZ,1362.68
GANCHO ESTIRA TEJ GALV 3/8  x  6,424599002,PZ,1365.65
POLIET SIXCOM 4 x 100 x 100 CRISTAL,424593994,PZ,1385.38
PLANCHUELA 1518 5     x   3/4,451305415,PZ,1385.67
PLANCHUELA 1518 6     x   5/8,451305417,PZ,1385.67
MECHA EZETA CILIND TITANIO  9.75 MM,424565881,CJ,1393.6
ALAMB GDO A/R OVAL 17/15 FORTIN,450819394,PZ,1397.99
CORTINA P/BAÃ‘O COMPLETA GRIS,450819325,PZ,1401.2
FRATACHO PINO 12 x 45 CM,450409151,PZ,1407.498763307
ENROLLADOR P/CORTINA 8 MT PULIDO,450409136,PZ,1407.613962093
LEBRILLO CHAPA GALV REF N.12  10 LT,450409225,PZ,1407.613962093
LEBRILLO CHAPA GALV REF N.14  12 LT,450409226,PZ,1407.613962093
CURVA CHAPA GALV CORRUGADA 6 ANG 45,450409227,PZ,1407.613962093
MECHA EZETA CILINDRICA A/R 18.75 MM,424589568,PZ,1407.7
CEMENTO 51 P/APARAR CALZADO x  1 LT,451305472,PZ,1408.28
CANDADO 606 40 MM ARCO ALTO  62 MM,451305585,PZ,1418.73
CANDADO 606 40 MM ARCO ALTO 125 MM,451305586,PZ,1418.73
CANDADO 606 40 MM CON COMBINACION,451305587,PZ,1418.73
GANCHO CONTRA VIENTO 24 - 110 x 15,424566073,PZ,1440.4
ESPATULA S JUANA ENDUIR 120 MM,451305186,PZ,1449
CLAVO C/PERDIDA  6-12,424564753,PZ,1457.29
FRATACHO ALGARROBO 12 x 35 CM,450409142,PZ,1474.774854138
FRATACHO ALGARROBO 12 x 40 CM,450409143,PZ,1474.774854138
MENSULA DOBLE ALUM   370 MM,413062573,PZ,1475.04
PITON HO PUL ESCUAD  21 -  40 x 100,450817497,PZ,1478.17
CABO P/RASTRILLO 1.50 MT,450905755,PZ,1482
MECHA EZETA DOBLE PUNTA 4.90 MM,424572090,PZ,1487.71
ESTAÃ‘O VARILLA 33%,450409122,PZ,1488.598708418
ESCARDILLO PALA Y 2 PUAS 67 MM,451305192,PZ,1504.2
MACHO URANGA A/ALEADO NF  7/16 x 20,413063495,PZ,1504.85
BARRENO BIASSONI    1/2,450409228,PZ,1507.952104411
MECHA MAX PLANA P/MAD    3/4,424573395,PZ,1509.09
CABO P/MARTILLO RECTO 0.30 MT,451305681,PZ,1512
CINTA TEJ P/SILLON AZUL      x 100 MT,451305526,PZ,1526.84
DISCO XPERT   MAQ SENS 350x3x25 O/A,451305397,PZ,1548.31
CUCHARA ROBLE P/ALBAÃ‘IL N. 8,450818620,PZ,1550
MAQ ZONTA RTO-PORTA RUEDA INCIDORA,450818699,PZ,1560
CABLE ACERO 14.0 MM 6 x 19+1,450811547,PZ,1568.32
BANDA AA TELA  50x478 O/A MET G. 80,424596199,PZ,1570.67
HORM ALLEMANDI DUAL BOLSA  20x 1 KG,451305525,PZ,1588.78
MECHA EZETA WIDIA LARGA 400 14 MM,424572011,PZ,1591.57
GRAMPA PRENSA CABLE GALV   7/8,450814055,PZ,1604.91
DESTAPADOR EL ABUELO SUPER SOPAPA,450409138,PZ,1608.405445514
ARANDELA FICHA BRONCEADA 11.0 MM,450906061,PZ,1613
BALDE CHAPA GALV REF N.14  22 LT,450409221,PZ,1620.962113152
FRATACHO ALGARROBO 12 x 45 CM,450409144,PZ,1641.928292144
FRATACHO ALGARROBO 12 x 50 CM,450409145,PZ,1641.928292144
ESCUADRA S JUANA MILIMETRADA 20 CM,450409196,PZ,1641.928292144
CLAVO ESCUADRA PUL 25 - 110,450813698,PZ,1669.45
BARRENO BIASSONI    3/4,450409189,PZ,1675.56633756
BARRENO BIASSONI    7/8,450409190,PZ,1675.56633756
BARRENO BIASSONI 1  1/2,450409193,PZ,1675.56633756
BARRENO BIASSONI 2,450409194,PZ,1675.56633756
MECHA EZETA WIDIA BOSCH  5 x 110 MM,424564980,PZ,1689.35
DISCO AA GOLD    6 PERF 154  G.800,450802289,PZ,1692.1
LLAVE PASO DUKE METAL ESFERA 3,451305388,PZ,1699.17
LLAVE PASO DUKE METAL ESFERA 4,451305389,PZ,1699.17
CEMENTO 51 P/APARAR CALZADO x 18 LT,451305481,PZ,1699.17
HILO CHORICERO 10 x  50 GR,424580144,PZ,1700.04
FLEX DUKE PLAST CONEX MET 1/2 x 30,424595635,PZ,1700.6
TUERCA ESTAMPADA HEXAGONAL 5/32,450409157,PZ,1709.204382975
TUERCA ESTAMPADA HEXAGONAL 3/16,450409158,PZ,1709.204382975
CUCHARA GHERARDI SOLDADA N. 7,450409123,PZ,1709.319581761
CINTA TEFLON    1/2 x 10 MT,424564806,PZ,1727.44
CHAIRA BIASSONI RAYADA  6 - 152 MM,424593565,PZ,1728.33
GANCHO CONTRA VIENTO 21 - 100 x 25,450818517,PZ,1736.43
CLAVO ESCUADRA PUL 23 - 100,450801826,PZ,1736.51
TORNILLO TIRAFONDO GALV 5/16x5,451305322,PZ,1738.31
ESQUINERO ANG PULIDO 100 x 100 MM,450409249,PZ,1742.496832034
ESQUINERO ANG PULIDO  90 x  90 MM,450409250,PZ,1742.496832034
ESQUINERO ANG PULIDO  25 x  25 MM,450409251,PZ,1742.496832034
ESCUADRA PLANA GALV 100 x 17 MM,450409252,PZ,1742.496832034
ESCUADRA PLANA GALV  90 x 15 MM,450409253,PZ,1742.496832034
ESCUADRA PLANA GALV  75 x 13 MM,450409254,PZ,1742.496832034
ESCUADRA PLANA GALV  65 x 10 MM,450409255,PZ,1742.496832034
ESCUADRA PLANA GALV  50 x 10 MM,450409256,PZ,1742.496832034
ESCUADRA PLANA GALV  38 x 10 MM,450409257,PZ,1742.496832034
INSEC ALLEMANDI YARARA TARRO 12x250,451305358,PZ,1744.39
GUANTE LATEX P/CORTO 11,424600069,PZ,1764
PITON P/MAD SOLDADO  20 -  60 x 50,450816354,PZ,1764.6
MECHA EZETA WIDIA LARGA 200  8 MM,424590526,PZ,1774.87
BIS FICHA P/SOLD REF  80-33   x 2.5,450811163,PZ,1784.64
MECHA EZETA CILINDRICA A/R 10.25 MM,450819435,PZ,1799.6
ALAMB FORRADO P/TENDEDERO x 100 MT,451305222,PZ,1804
MACHO URANGA A/RAPIDO M 16 x 1.50,424594587,PZ,1814.75
DISCO XPERT   C/D 114x3.0x22.2 O/A,451305390,PZ,1826.66
CABEZAL P/CORTINA MOSQUERA  80 CM,451305617,PZ,1826.66
COLA X-36 P/MADERA DURA x  1 KG,451305555,PZ,1832.93
CEMENTO SIN TOLUENO x  4     LT,451305492,PZ,1833.31
CEMENTO SIN TOLUENO x 10     LT,451305493,PZ,1833.31
CEMENTO SIN TOLUENO x 18     LT,451305494,PZ,1833.31
FRATACHO PLASTICO C/POL 20 CM,450409153,PZ,1843.295769494
FRATACHO PLASTICO C/POL 25 CM,450409154,PZ,1843.295769494
FRATACHO PLASTICO C/POL 30 CM,450409155,PZ,1843.295769494
TUERCA ESTAMPADA HEXAGONAL 1/8,450409156,PZ,1843.295769494
PALANQ  LAMINADA 1045  50.80 MM,450802635,PZ,1846.86
MACHO URANGA A/RAPIDO M 16 x 1.00,424594586,PZ,1848
TENSOR ACERO GALV IMP  3/4,424595489,PZ,1852.24
ADHESIVO DUKE P/PVC  220 CM3 PINCEL,450813828,PZ,1861.1
MACHO URANGA A/RAPIDO NC  9/16 x 12,451305606,PZ,1862.57
GANCHO ESTIRA TEJ GALV 5/16 x  5,424592192,PZ,1877.88
CABO P/RASTRILLO 1.65 MT,450905754,PZ,1878
MACHO URANGA A/ALEADO BSP  1/4 x 19,424594622,PZ,1883.82
MECHA EZETA COLA CONICA  5.25 MM,450811189,PZ,1885.07
PITON HO PUL ESCUAD  27 - 140 x  25,424588702,PZ,1900
MECHA EZETA CILIND TITANIO  5.50 MM,424591775,PZ,1908.59
DISCO XPERT   C/D 178x3.0x22.2 O/A,451305391,PZ,1910.64
IMPRIMACION P-61 x 5 KG,451305516,PZ,1910.64
MECHA EZETA CILIND TITANIO 10.00 MM,424572866,PZ,1943.14
CLAVO CAJ PULIDO 18-100 x 30 KG,450811541,PZ,1960.82
TENDEDERO EXTENS 7 V  45 CM,450409276,PZ,1969.013439097
CLAVO ESCUADRA PUL 23 - 110,450802762,PZ,1988.19
CACEROLA FUND ENLOZADA N. 2,424592784,PZ,1989.16
PLANCHUELA 1518 5     x   5/8,451305414,PZ,1995.95
CINTA TEJ P/SILLON NARANJA   x 100 MT,451305527,PZ,1995.95
CINTA EVEL 125 STANDARD    25 MT,450816388,PZ,1997.803581234
PINTURA MATRA AEROSOL VERDE INGLES,451305464,PZ,1998.8
MACHO URANGA A/ALEADO BSPT 1/4 x 19,450813594,PZ,2006.95
FRATACHO PINO 12 x 20 CM,450409146,PZ,2010.679605071
FRATACHO PINO 12 x 25 CM,450409147,PZ,2010.679605071
BARRENO BIASSONI   11/16,450409188,PZ,2010.679605071
BARRENO BIASSONI 1  1/8,450409192,PZ,2010.679605071
MACHO TAP A/LAMINADO NF  5/16 x 24,450804227,PZ,2017.6
CANDADO 606 40MM JGO  6 PZS COMB,451305607,PZ,2021.41
SIFON P/BACHA DOBLE  DIAM 50 MM,424581576,PZ,2028
MECHA EZETA COLA CONICA 19.75 MM,450813593,PZ,2046.62
PITON S/TOPE CERRADO BCE 18-40 x100,424596203,PZ,2054.4
PITON S/TOPE CERRADO BCE 17-35 x100,424596204,PZ,2054.4
PITON S/TOPE CERRADO BCE 16-30 x200,424596205,PZ,2054.4
PITON S/TOPE CERRADO BCE 15-25 x200,424596207,PZ,2054.4
PITON P/MAD SOLDADO  21 -  70 x 50,450815957,PZ,2055.24
BALDE PLAST PICO VERT 10 LT ROJO,450901051,PZ,2063.36
TUERCA ESTAMPADA HEXAGONAL 1/4,450409159,PZ,2077.610099546
TUERCA ESTAMPADA HEXAGONAL 5/16,450409160,PZ,2077.610099546
TUERCA ESTAMPADA HEXAGONAL 3/8,450409161,PZ,2077.610099546
TUERCA ESTAMPADA CUADRADA  1/8,450409162,PZ,2077.610099546
TUERCA ESTAMPADA CUADRADA  5/32,450409163,PZ,2077.610099546
TUERCA ESTAMPADA CUADRADA  1/4,450409165,PZ,2077.610099546
CINTA EVEL 202 RETROFLEX    2 MT,424572784,PZ,2081.04
MACHO URANGA A/RAPIDO NC  1/2  x 13,450409369,PZ,2085.25
GUANTE LATEX P/CORTO 10,424572687,PZ,2099.78
DISCO XPERT   C/D 230x3.0x22.2 O/A,451305392,PZ,2123.63
BISAGRA REVERSIBLE BCEADA  2x 5x1.5,450905679,PZ,2125.76
CORTINA P/BAÃ‘O RTO-PROTECT BEIGE,450817189,PZ,2130.13
ARGOLLA NIQUELADA 30 MM,450816507,PZ,2139.61
AZADA FERCAS CARPIR N.0  110 MM,450409277,PZ,2147.514043502
MACHO URANGA A/RAPIDO NC  7/16 x 14,450409370,PZ,2177.78
MECHA EZETA CILINDRICA A/R 13.25 MM,451301849,PZ,2186.39
CLAVO ESCUADRA PUL 19 -  60,424592437,KT,2189.62
CLAVO C/CHATA 10-40,450818806,PZ,2200
AEROSOL MATRA BARNIZ MARINO,451305470,PZ,2226.04
CEMENTO 91 DE CONTACTO  x  4     LT,451305553,PZ,2229.65
PINTURA MATRA AEROSOL ORO,451305467,PZ,2248.65
CAÃ‘O HIDROCARBURO  5 -  9  x 50 MT,451305592,PZ,2248.65
ROLDANA CHAPA GALV 38 MM,450816434,PZ,2263.132018636
REGLA EVEL METALICA 100 CM,424590529,PZ,2267.29
MACHO URANGA A/ALEADO NC  5/16 x 18,424593812,PZ,2268.24
CLAVO ESCUADRA PUL 24 - 120,451301080,PZ,2288
COLA T-15 P/TELGOPOR   200 GR,451305517,PZ,2293.49
CLAVO ESPIRALADO FRACC  2 1/2,424588156,PZ,2336.64
TUERCA ESTAMPADA CUADRADA  3/16,450409164,PZ,2345.90807137
CLAVO ACERO ESC GALV 4.0 - 90 x 50,424588484,PZ,2362.11486248
MACHO URANGA A/RAPIDO M  9 x 1.00,451305244,PZ,2362.65
MECHA EZETA CILINDRICA A/R 13.00 MM,451301847,PZ,2371.99
PITON HO PUL ESCUAD  26 - 120 x  25,451301011,PZ,2385.66
GANCHO HOOK P/COLGAR 150 x 150 MM,450816402,PZ,2387.799
MECHA EZETA CILIND TITANIO  6.50 MM,424592235,PQ,2388.24
CADENA P/PERRO N.15 LARGO 1.70 MT,424584771,PZ,2393.35
MECHA EZETA WIDIA CORTA  6 MM,424590540,PZ,2407.36
MAQ ZONTA PERF RTO-BRAZO GIRATORIO,450803402,PZ,2439.3
GANCHO ESTIRA TEJ GALV 5/16 x 13,450806566,PZ,2446.33
MACHO URANGA A/RAPIDO M  6 x 0.75,451305469,PZ,2453.09
ARGOLLA NIQUELADA 25 MM,450819469,PZ,2454.49
ARGOLLA NIQUELADA 27 MM,450819471,PZ,2454.49
CLAVO ESCUADRA PUL 24 -  80,450816409,PZ,2461.695255334
BISAGRA REVERSIBLE PULIDA 80x20x1.5,451301887,PZ,2463.76
RIEL RTO-TOPE PLAST COMUN     x  10,451305146,PZ,2478.06
GANCHO J P/GALPON COMP 1/4 x  70 MM,450801503,PZ,2484.62
CEMENTO 51 P/APARAR CALZADO x  4 LT,451305473,PZ,2489.76
ARCO SIERRA EL ABUELO BRICOLSIER,450400705,PZ,2495.41
CLAVO ESCUADRA PUL 25 -  80,451300792,PZ,2496
CLAVO ACERO ESC GALV 3.5 - 60 x100,424599905,PZ,2528.13
TUERCA ESTAMPADA CUADRADA  5/16,450409166,PZ,2546.814753576
TUERCA ESTAMPADA CUADRADA  3/8,450409167,PZ,2546.814753576
MECHA EZETA COLA CONICA 49.25 MM,451300168,PQ,2555.28
CAÃ‘O RIEGO GREEN 1     x 50 MT,451305608,PZ,2557.97
PITON S/TOPE ESCUAD  BCE 17-35 x100,424596163,PZ,2568
PITON S/TOPE ESCUAD  BCE 18-40 x100,424596164,PZ,2568
PITON S/TOPE ESCUAD  BCE 16-30 x200,424596165,PZ,2568
PITON S/TOPE ESCUAD  BCE 15-25 x200,424596166,PZ,2568
ALAM PUAS 16-101 x  25 MT,450819470,PZ,2568.29
CLAVO ACERO GALV 2.0 - 25 x 200,450816438,PZ,2580.19789336
MAQ RTO-RUEDA DE WIDIA x 5 U,450816497,PZ,2590
BUSCAPOLO EL ABUELO  x 10 U,450816498,PZ,2590
PUNTA GHERARDI HEXAGONAL 18-21 300,450819706,PZ,2597.33
TORNILLO TIRAFONDO GALV 3/16x2,451305278,PZ,2612.12
TELA M/SOMBRA 100 MT AZUL -BLAN 80%,424564450,PZ,2622.46
CABO P/LIMA PLANA     100 A 150 MM,424595098,PZ,2645.76
MECHA EZETA COLA CONICA 22.50 MM,450800287,PZ,2645.76
MECHA EZETA WIDIA LARGA 200 10 MM,424590525,PZ,2659.16
DISCO XPERT   C/P 178x1.6x22.2 O/A,451305346,PZ,2664.18
CLAVO ACERO GALV 3.0 - 30 x 100,451404408,PZ,2665.6
BISAGRA T/1842 63 MM,450803403,PZ,2693.6
BISAGRA REVERSIBLE PULIDA  2x 5x1.5,450816496,PZ,2693.6
MECHA MAX PLANA P/MAD    3/8,424573248,PZ,2698.8
CLAVO CAJ PULIDO 12- 25 x 30 KG,424566336,CJ,2701.23
HORM ALLEMANDI MIREX BOLSA 12x500GR,451305349,PZ,2705.41
GRIFERIA VENUS DUCHA S/TRANS CROMO,424596200,PZ,2717.12
MENSULA DOBLE ALUM   470 MM,413062561,PZ,2740.63
GRAMPA PRENSA CABLE GALV   7/16,424564472,PZ,2744.7
GRAMPA P/CERCO  9-38 MM,450819215,PZ,2757.758
MAQ ZONTA PERF RTO-BARRENADOR,450818672,PZ,2784.6
AZADA FERCAS ALBAÃ‘IL C/REGATON,450409275,PZ,2789.5252467
BISAGRA T/1842 38 MM,450803401,PZ,2795.96
MECHA EZETA COLA CONICA 46.00 MM,451305149,PZ,2801.13
FAROL RTO-BOQUILLA 250 W,424599825,PZ,2818.53
MECHA EZETA WIDIA LARGA 400 22 MM,424590530,PZ,2861.36
IMPRIMACION P-61 x 1 KG,451305515,PZ,2866.53
CEMENTO 91 DE CONTACTO  x  1     LT,451305552,PZ,2866.53
MECHA NEIKE WIDIA CORTA 10 MM,424564379,PZ,2884.72
DISCO XPERT   C/D 114x4.8x22.2 O/A,451305393,PZ,2972.93
MECHA EZETA COLA CONICA 44.50 MM,451305182,PZ,3018.143856109
MECHA EZETA WIDIA CORTA  8 MM,424580873,CJ,3065.44
BISAGRA REVERSIBLE BCEADA  2x 3x1.5,451301278,PZ,3086.35
TEJ ROMBO ACINDAR 150-63-14-10 ML,451305241,PZ,3108.59
MACHO URANGA A/ALEADO NC  1/4  x 20,424593810,PZ,3121.04
CLAVO ACERO GALV 1.7 - 20 x 200,450816445,PZ,3127.101634728
MECHA EZETA CILINDRICA A/R  0.20 MM,451305675,PZ,3127.5
CARCIMA 1000 JARDIN 4 PIEZAS,450905726,PZ,3150
BISAGRA T/1842 51 MM,451301280,PZ,3182.42
MECHA EZETA CILIND TITANIO  2.50 MM,424588485,PZ,3184.873971883
MECHA EZETA CILIND TITANIO  6.00 MM,424588142,PZ,3193.8
ACEITERA PLAST PICO FLEX   500 CM3,450409282,PZ,3199.57968255
BISAGRA 5005 PULIDA IMP  25 MM,450815611,PZ,3225.18
CEMENTO 101 DE CONTACTO x    1/8 LT,451305556,PZ,3244.44
PALA MAGER POCERA    C/LARGO,450818671,PZ,3258
COLA W-3 RESISTENTE AL AGUA x 20 KG,451305523,PZ,3258.88
CEMENTO 101 DE CONTACTO x  50    CC,451305554,PZ,3258.88
CEMENTO 101 DE CONTACTO x    1/2 LT,451305558,PZ,3284.91
ARANDELA FICHA BRONCEADA  9.0 MM,451301146,PZ,3319.52
PITON S/TOPE CERRADO BCE 19-50 x 50,424596167,PZ,3338.4
PITON S/TOPE CERRADO BCE 20-60 x 50,424596206,PZ,3338.4
MECHA EZETA COLA CONICA 49.50 MM,450802002,PZ,3373.48
MECHA EZETA CILINDRICA A/R  0.45 MM,450906105,PZ,3374.15
ARCO SIERRA EL ABUELO LA CALADORA,450400588,PZ,3383.42
LEBRILLO CHAPA GALV REF N.24  50 LT,424592791,PZ,3383.76
MECHA EZETA CILINDRICA A/R  6.00 MM,424589525,PZ,3435.905889541
MECHA EZETA CILINDRICA A/R  6.25 MM,424589526,PZ,3435.905889541
